feature,coef
intercept,7.299171565052974
f_0,-0.04776302807182212
f_1,0.17571144782986317
f_2,0.31147513276197486
f_3,0.4601704456003961
f_4,0.052711676237695
f_5,0.035336215689737695
f_6,0.08922399328185218
f_7,0.26878862165904194
f_8,-0.39733259192714077
f_9,0.14118783582213046
f_10,-0.27921667738645
f_11,0.04575049308199654
f_12,0.4473227448034432
f_13,0.34999578520025454
f_14,0.057558309673586903
f_15,0.06858519015545007
f_16,0.5458001336007927
f_17,1.255042037870245
f_18,0.4526459015003962
f_19,1.0248554827369163
f_20,-7.267947583318989
f_21,1.4501694628863668
f_22,1.444546231025502
f_23,1.2171063435114056
f_24,1.3244714145866385
f_25,1.3057279171793834
